instrument_name,strike,expiration,option_type,delivery_price,moneyness,trade_count,greeks_coverage
BTC-17AUG26-61000-P,61000,2026-08-17T08:00:00.000Z,put,63486.06,OTM,2,100.00
BTC-17AUG26-61500-P,61500,2026-08-17T08:00:00.000Z,put,63486.06,OTM,3,100.00
BTC-17AUG26-62000-P,62000,2026-08-17T08:00:00.000Z,put,63486.06,OTM,16,100.00
BTC-17AUG26-62500-P,62500,2026-08-17T08:00:00.000Z,put,63486.06,OTM,106,100.00
BTC-17AUG26-63000-C,63000,2026-08-17T08:00:00.000Z,call,63486.06,ITM,21,100.00
BTC-17AUG26-63000-P,63000,2026-08-17T08:00:00.000Z,put,63486.06,OTM,29,100.00
BTC-17AUG26-63500-C,63500,2026-08-17T08:00:00.000Z,call,63486.06,OTM,54,100.00
BTC-17AUG26-63500-P,63500,2026-08-17T08:00:00.000Z,put,63486.06,ITM,36,100.00
BTC-17AUG26-64000-C,64000,2026-08-17T08:00:00.000Z,call,63486.06,OTM,7,100.00
BTC-17AUG26-64000-P,64000,2026-08-17T08:00:00.000Z,put,63486.06,ITM,2,0.00
BTC-17AUG26-66000-P,66000,2026-08-17T08:00:00.000Z,put,63486.06,ITM,1,0.00
